instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2017-04-17T23:00:00Z,NTPC.NS,HINDALCO.NS,NESTLEIND.NS,ICICIBANK.NS,MARUTI.NS,BAJAJFINSV.NS,TATASTEEL.NS,COALINDIA.NS,TITAN.NS,BAJFINANCE.NS
2019-12-30T00:00:00Z,HEROMOTOCO.NS,NESTLEIND.NS,BHARTIARTL.NS,HINDALCO.NS,COALINDIA.NS,ICICIBANK.NS,TCS.NS,GRASIM.NS,ONGC.NS,NTPC.NS
2015-09-17T23:00:00Z,SHREECEM.NS,ONGC.NS,TECHM.NS,RELIANCE.NS,KOTAKBANK.NS,BAJFINANCE.NS,BAJAJ-AUTO.NS,TITAN.NS,HINDALCO.NS,CIPLA.NS
2018-08-01T23:00:00Z,INDUSINDBK.NS,COALINDIA.NS,SHREECEM.NS,WIPRO.NS,TITAN.NS,KOTAKBANK.NS,BHARTIARTL.NS,MARUTI.NS,RELIANCE.NS,TECHM.NS
2021-01-29T00:00:00Z,INDUSINDBK.NS,ICICIBANK.NS,HDFCLIFE.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,HEROMOTOCO.NS,TATASTEEL.NS,WIPRO.NS,BAJAJ-AUTO.NS
2017-10-16T23:00:00Z,CIPLA.NS,BHARTIARTL.NS,ULTRACEMCO.NS,HINDALCO.NS,BRITANNIA.NS,BAJFINANCE.NS,SHREECEM.NS,GRASIM.NS,ONGC.NS,INDUSINDBK.NS
2016-01-15T00:00:00Z,TECHM.NS,RELIANCE.NS,MARUTI.NS,INDUSINDBK.NS,GRASIM.NS,ICICIBANK.NS,NTPC.NS,TATACONSUM.NS,HINDALCO.NS,SHREECEM.NS
2020-06-16T23:00:00Z,MARUTI.NS,BHARTIARTL.NS,WIPRO.NS,INDUSINDBK.NS,BRITANNIA.NS,KOTAKBANK.NS,SHREECEM.NS,ITC.NS,BAJAJFINSV.NS,NTPC.NS
2015-06-02T23:00:00Z,COALINDIA.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,TCS.NS,NESTLEIND.NS,ONGC.NS,SHREECEM.NS,ICICIBANK.NS,GRASIM.NS
2017-11-30T00:00:00Z,TATACONSUM.NS,NESTLEIND.NS,SHREECEM.NS,BHARTIARTL.NS,TITAN.NS,HINDALCO.NS,RELIANCE.NS,KOTAKBANK.NS,ICICIBANK.NS,WIPRO.NS
2015-08-16T23:00:00Z,TATASTEEL.NS,COALINDIA.NS,TITAN.NS,KOTAKBANK.NS,WIPRO.NS,CIPLA.NS,HINDALCO.NS,ONGC.NS,HEROMOTOCO.NS,NESTLEIND.NS
2017-02-14T00:00:00Z,BHARTIARTL.NS,RELIANCE.NS,ONGC.NS,HINDALCO.NS,GRASIM.NS,SHREECEM.NS,HEROMOTOCO.NS,ULTRACEMCO.NS,BRITANNIA.NS,MARUTI.NS
2018-04-16T23:00:00Z,NESTLEIND.NS,TITAN.NS,NTPC.NS,ICICIBANK.NS,BHARTIARTL.NS,WIPRO.NS,HEROMOTOCO.NS,CIPLA.NS,MARUTI.NS,HDFCLIFE.NS
2018-12-31T00:00:00Z,TATASTEEL.NS,TECHM.NS,KOTAKBANK.NS,HINDALCO.NS,INDUSINDBK.NS,NESTLEIND.NS,BHARTIARTL.NS,COALINDIA.NS,TATACONSUM.NS,HEROMOTOCO.NS
2016-09-15T23:00:00Z,GRASIM.NS,MARUTI.NS,TATACONSUM.NS,HEROMOTOCO.NS,ITC.NS,BAJAJFINSV.NS,TATASTEEL.NS,HINDALCO.NS,BRITANNIA.NS,ICICIBANK.NS
2019-07-31T23:00:00Z,TATACONSUM.NS,WIPRO.NS,MARUTI.NS,RELIANCE.NS,BAJAJ-AUTO.NS,HINDALCO.NS,BHARTIARTL.NS,TATASTEEL.NS,ULTRACEMCO.NS,LT.NS
2020-01-31T00:00:00Z,KOTAKBANK.NS,INDUSINDBK.NS,BHARTIARTL.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,ONGC.NS,COALINDIA.NS,TCS.NS,RELIANCE.NS,TATASTEEL.NS
2018-10-15T23:00:00Z,TECHM.NS,ONGC.NS,ICICIBANK.NS,RELIANCE.NS,SHREECEM.NS,CIPLA.NS,HINDALCO.NS,MARUTI.NS,NTPC.NS,INDUSINDBK.NS
2020-08-30T23:00:00Z,ONGC.NS,TCS.NS,WIPRO.NS,NESTLEIND.NS,TECHM.NS,BAJAJFINSV.NS,INDUSINDBK.NS,NTPC.NS,BAJFINANCE.NS,SHREECEM.NS
2021-03-02T00:00:00Z,WIPRO.NS,NTPC.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,TECHM.NS,ONGC.NS,COALINDIA.NS,SHREECEM.NS,KOTAKBANK.NS,RELIANCE.NS
2016-05-31T23:00:00Z,NESTLEIND.NS,BHARTIARTL.NS,ITC.NS,TCS.NS,BRITANNIA.NS,HINDALCO.NS,ICICIBANK.NS,CIPLA.NS,BAJAJFINSV.NS,TATASTEEL.NS
2016-12-01T00:00:00Z,ONGC.NS,RELIANCE.NS,HEROMOTOCO.NS,WIPRO.NS,TITAN.NS,SHREECEM.NS,HINDALCO.NS,ICICIBANK.NS,TECHM.NS,BHARTIARTL.NS
2016-02-16T00:00:00Z,NTPC.NS,INDUSINDBK.NS,HEROMOTOCO.NS,WIPRO.NS,NESTLEIND.NS,LT.NS,ICICIBANK.NS,HINDALCO.NS,BAJFINANCE.NS,TATACONSUM.NS
2019-04-15T23:00:00Z,INDUSINDBK.NS,ICICIBANK.NS,TITAN.NS,ONGC.NS,GRASIM.NS,WIPRO.NS,CIPLA.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS
2018-01-01T00:00:00Z,COALINDIA.NS,HDFCLIFE.NS,WIPRO.NS,BRITANNIA.NS,CIPLA.NS,TCS.NS,GRASIM.NS,BAJFINANCE.NS,INDUSINDBK.NS,ULTRACEMCO.NS
2017-09-14T23:00:00Z,ONGC.NS,BAJAJ-AUTO.NS,COALINDIA.NS,NESTLEIND.NS,WIPRO.NS,INDUSINDBK.NS,ITC.NS,SHREECEM.NS,CIPLA.NS,NTPC.NS
2020-07-29T23:00:00Z,WIPRO.NS,MARUTI.NS,CIPLA.NS,RELIANCE.NS,BRITANNIA.NS,INDUSINDBK.NS,BAJAJFINSV.NS,BHARTIARTL.NS,ONGC.NS,GRASIM.NS
2019-02-01T00:00:00Z,HEROMOTOCO.NS,MARUTI.NS,BAJFINANCE.NS,TECHM.NS,BAJAJ-AUTO.NS,ICICIBANK.NS,ULTRACEMCO.NS,COALINDIA.NS,TITAN.NS,TATASTEEL.NS
